Name,ERA,K/BB,HR/9,WHIP,xFIP,HardHit%_P,abbrev_name
Randal Grichuk,0.0,0.0,0.0,0.0,4.59,0.33299999999999996,R.Grichuk
Phil Gosselin,0.0,0.0,0.0,0.0,4.59,0.0,P.Gosselin
Jace Peterson,0.0,0.0,0.0,0.0,4.59,0.0,J.Peterson
Alex Claudio,0.0,1.0,0.0,0.9,4.6,0.222,A.Claudio
Ken Giles,0.0,1.5,0.0,1.15,4.14,0.25,K.Giles
Kevin Plawecki,0.0,0.0,0.0,1.0,7.57,0.5,K.Plawecki
Franmil Reyes,0.0,1.0,0.0,0.0,4.11,0.0,F.Reyes
Silvino Bracho,0.0,0.0,0.0,0.0,6.11,0.33299999999999996,S.Bracho
Jack Mayfield,0.0,0.0,0.0,1.0,6.08,0.0,J.Mayfield
Zack Weiss,0.0,1.4,0.0,1.17,4.51,0.5379999999999999,Z.Weiss
Willians Astudillo,0.0,0.0,0.0,1.0,6.85,0.2,W.Astudillo
Reese McGuire,0.0,0.0,0.0,0.0,6.08,0.33299999999999996,R.McGuire
Pablo Reyes,0.0,0.0,0.0,0.0,4.59,0.0,P.Reyes
Vinny Nittoli,0.0,1.0,0.0,0.5,6.59,0.0,V.Nittoli
Justus Sheffield,0.0,1.5,0.0,0.6,4.0,0.278,J.Sheffield
Jermaine Palacios,0.0,1.0,0.0,0.0,-2.89,,J.Palacios
Conner Menez,0.0,1.0,0.0,1.0,5.59,0.33299999999999996,C.Menez
Kyle Dowdy,0.0,1.0,0.0,1.26,5.93,0.35,K.Dowdy
Brian Serven,0.0,0.0,0.0,1.0,7.59,0.0,B.Serven
Jorge Alcala,0.0,1.0,0.0,1.71,5.24,0.16699999999999998,J.Alcala
Andrew Knizner,0.0,0.0,0.0,1.5,5.34,0.33299999999999996,A.Knizner
Sheldon Neuse,0.0,0.0,0.0,0.27,5.95,0.41700000000000004,S.Neuse
Jordan Sheffield,0.0,0.5,0.0,2.0,5.85,0.6,J.Sheffield
Mike Brosseau,0.0,0.0,0.0,1.0,5.1,0.5,M.Brosseau
Darick Hall,0.0,0.0,0.0,3.0,7.57,0.0,D.Hall
Ryan McKenna,0.0,0.0,0.0,9.0,12.11,0.33299999999999996,R.McKenna
Michel Baez,0.0,2.0,0.0,0.5,2.59,0.4,M.Baez
Riley O'Brien,0.0,1.0,0.0,2.0,4.11,0.667,R.O'Brien
Bowden Francis,0.0,1.0,0.0,1.5,0.11,0.0,B.Francis
Aneurys Zabala,0.0,2.0,0.0,1.5,4.96,0.5,A.Zabala
Nick Duron,0.0,1.0,0.0,2.0,1.11,0.33299999999999996,N.Duron
Michael Plassmeyer,0.0,1.0,0.0,0.0,3.84,0.0,M.Plassmeyer
Freddy Tarnok,0.0,1.0,0.0,1.5,0.11,0.5,F.Tarnok
William Woods,0.0,2.0,0.0,1.5,4.09,0.2,W.Woods
Cam Alldred,0.0,1.0,0.0,1.0,2.59,0.0,C.Alldred
Nate Fisher,0.0,0.5,0.0,1.0,6.92,0.25,N.Fisher
Ryan Weber,0.84,3.0,0.84,0.66,3.8,0.424,R.Weber
Matt Gage,1.38,2.0,0.69,0.92,4.13,0.32299999999999995,M.Gage
Danny Coulombe,1.46,1.0,0.0,1.3,5.53,0.257,D.Coulombe
Jesus Tinoco,2.19,1.29,0.73,1.14,4.8,0.4,J.Tinoco
Christian Bethancourt,2.25,1.0,2.25,1.75,7.82,0.41200000000000003,C.Bethancourt
Michael Kelly,2.25,4.0,2.25,1.0,4.47,0.1,M.Kelly
Tommy Hunter,2.42,3.67,1.61,1.21,3.94,0.455,T.Hunter
Enoli Paredes,3.0,0.67,0.0,2.0,5.77,0.444,E.Paredes
Cole Waites,3.0,0.33,0.0,2.0,6.93,0.556,C.Waites
Tyler Holton,3.0,3.0,1.0,1.11,5.42,0.36700000000000005,T.Holton
Tyler Thornburg,3.32,1.27,0.47,1.42,5.95,0.361,T.Thornburg
Jordan Holloway,3.38,2.0,0.0,1.5,3.29,0.125,J.Holloway
Roenis Elias,3.52,2.0,1.17,1.3,4.66,0.292,R.Elias
Nick Neidert,3.6,3.0,1.8,1.0,3.69,0.588,N.Neidert
Beau Sulser,3.86,2.11,1.29,1.48,4.36,0.385,B.Sulser
Brennan Bernardino,3.86,0.0,0.0,2.14,8.23,0.364,B.Bernardino
Reiss Knehr,3.95,2.5,0.66,1.1,5.36,0.512,R.Knehr
Justin Grimm,4.11,1.57,0.59,1.63,5.28,0.275,J.Grimm
Evan Lee,4.15,1.0,1.04,1.85,6.32,0.429,E.Lee
Kenny Rosenberg,4.22,1.33,0.84,1.41,5.53,0.33299999999999996,K.Rosenberg
Danny Young,4.26,3.0,1.42,2.05,4.04,0.33299999999999996,D.Young
Phillips Valdez,4.41,1.86,0.0,1.16,5.09,0.326,P.Valdez
Harold Castro,4.5,1.0,0.0,1.75,6.71,0.733,H.Castro
Jeff Brigham,4.5,2.63,1.5,1.39,4.09,0.408,J.Brigham
Pedro Avila,4.5,5.0,2.25,1.0,3.22,0.364,P.Avila
Anthony Kay,4.5,3.0,0.0,1.5,3.85,1.0,A.Kay
Kody Clemens,4.5,1.0,0.0,1.83,5.26,0.385,K.Clemens
Cristofer Ogando,4.5,1.0,0.0,1.0,5.09,0.667,C.Ogando
Robert Gsellman,4.7,3.0,1.17,1.3,4.27,0.5,R.Gsellman
Gregory Santos,4.91,0.67,0.0,1.64,5.28,0.33299999999999996,G.Santos
Louie Varland,5.23,3.33,1.74,1.45,3.77,0.484,L.Varland
Sam Coonrod,5.4,1.83,0.77,1.29,4.81,0.29,S.Coonrod
Luke Farrell,5.4,2.0,1.8,1.67,4.62,0.429,L.Farrell
Ryan Hendrix,5.4,1.5,0.0,1.8,5.08,0.33299999999999996,R.Hendrix
Matt Peacock,5.4,1.5,0.9,1.6,4.0,0.361,M.Peacock
Alejo Lopez,5.4,0.0,5.4,0.6,7.57,0.33299999999999996,A.Lopez
Nicholas Padilla,5.4,0.5,0.0,2.4,7.29,0.5,N.Padilla
Drew Steckenrider,5.65,2.0,1.26,1.81,4.63,0.358,D.Steckenrider
Luis Gonzalez,5.68,0.0,0.0,1.58,5.22,0.276,L.Gonzalez
Edwin Uceta,5.82,1.86,1.06,1.24,4.91,0.385,E.Uceta
Anderson Severino,6.14,2.25,0.0,1.5,4.12,0.526,A.Severino
Robert Dugger,6.19,2.71,1.69,1.63,3.9,0.5,R.Dugger
Patrick Murphy,6.35,0.5,0.0,2.82,7.51,0.273,P.Murphy
Anthony DeSclafani,6.63,4.25,1.89,2.0,4.14,0.45799999999999996,A.DeSclafani
Matt Reynolds,6.75,0.0,0.0,2.25,10.95,0.429,M.Reynolds
Jake Hager,7.71,1.0,0.0,1.29,4.16,0.222,J.Hager
Raynel Espinal,7.71,5.0,1.93,1.5,3.52,0.467,R.Espinal
Collin Wiles,8.31,5.0,2.08,2.08,2.52,0.2,C.Wiles
Zac Lowther,8.44,0.5,0.0,1.88,7.21,0.45799999999999996,Z.Lowther
Cesar Valdez,9.0,0.0,0.0,2.0,3.11,0.4,C.Valdez
Chris Owings,9.0,0.0,0.0,2.0,4.59,0.4,C.Owings
Tucker Barnhart,9.0,0.0,0.0,3.0,6.08,0.0,T.Barnhart
Yolmer Sanchez,9.0,0.0,0.0,3.0,7.57,0.33299999999999996,Y.Sanchez
Jackie Bradley Jr.,9.0,0.33,0.0,4.0,11.59,0.33299999999999996,J.Bradley
Rob Zastryzny,9.0,1.0,0.0,1.0,2.59,0.33299999999999996,R.Zastryzny
Jose Castillo,9.0,1.0,0.0,2.0,5.59,1.0,J.Castillo
Damon Jones,9.64,1.0,0.0,1.93,7.38,0.385,D.Jones
Ryan Weathers,9.82,0.75,0.0,2.73,6.37,0.35700000000000004,R.Weathers
Caleb Kilian,10.32,0.75,0.0,2.03,6.8,0.441,C.Kilian
Cam Vieaux,10.38,3.0,2.08,2.31,3.78,0.444,C.Vieaux
Alcides Escobar,10.8,0.0,0.0,2.4,7.6,0.375,A.Escobar
Pedro Baez,11.57,0.67,0.0,3.43,7.8,0.545,P.Baez
Foster Griffin,12.46,0.5,0.0,2.31,7.02,0.47100000000000003,F.Griffin
Stephen Strasburg,13.5,2.5,1.93,2.14,4.49,0.33299999999999996,S.Strasburg
Jake Walsh,13.5,2.5,0.0,1.88,4.41,0.7140000000000001,J.Walsh
Cody Sedlock,15.0,3.0,0.0,2.33,3.59,0.667,C.Sedlock
Matt Dermody,18.0,0.5,0.0,4.0,7.11,0.75,M.Dermody
Shaun Anderson,18.0,0.0,0.0,4.0,7.57,0.429,S.Anderson
Victor Caratini,27.0,0.0,0.0,3.0,12.08,0.4,V.Caratini
Chad Pinder,27.0,0.0,0.0,4.0,13.59,0.25,C.Pinder
Nick Maton,27.0,0.0,0.0,4.0,6.08,0.5710000000000001,N.Maton
Frank German,36.0,0.0,0.0,4.0,9.11,0.0,F.German
Andrelton Simmons,45.0,0.0,0.0,6.0,12.06,0.375,A.Simmons
Marco Gonzales,4.01,1.96,1.46,1.32,4.93,0.353,M.Gonzales
Joey Krehbiel,3.0,2.87,1.33,1.11,4.17,0.32299999999999995,J.Krehbiel
Devin Smeltzer,3.71,2.11,1.66,1.22,4.98,0.38799999999999996,D.Smeltzer
Brent Suter,3.92,2.4,1.21,1.26,4.12,0.295,B.Suter
Nick Vespi,4.21,3.5,1.75,1.36,3.31,0.408,N.Vespi
Dillon Peters,4.58,1.53,1.14,1.32,4.9,0.361,D.Peters
Josh Winckowski,5.75,1.58,1.34,1.56,4.66,0.45299999999999996,J.Winckowski
Joe Barlow,3.16,2.67,1.15,1.05,4.72,0.40700000000000003,J.Barlow
Michael Rucker,4.25,2.53,1.48,1.29,4.13,0.379,M.Rucker
Hunter Strickland,5.11,1.59,1.12,1.56,5.27,0.371,H.Strickland
Angel Zerpa,1.64,1.0,1.64,1.09,5.0,0.5529999999999999,A.Zerpa
Albert Abreu,3.32,1.73,1.18,1.47,4.33,0.355,A.Abreu
Drew Smith,3.51,3.36,1.76,1.15,3.8,0.5,D.Smith
Matthew Festa,4.08,4.07,1.75,1.14,3.45,0.299,M.Festa
Jackson Tetreault,5.14,0.9,1.71,1.57,5.8,0.5710000000000001,J.Tetreault
Jarlin Garcia,3.2,2.94,1.37,1.15,4.22,0.431,J.Garcia
Anthony Bender,3.26,2.13,1.4,1.29,3.67,0.34600000000000003,A.Bender
Sean Poppen,3.91,1.73,1.07,1.38,4.73,0.34700000000000003,S.Poppen
Blake Taylor,3.94,0.9,0.56,1.56,5.53,0.309,B.Taylor
Andres Machado,3.99,1.82,1.09,1.39,4.41,0.419,A.Machado
Cole Sulser,5.29,2.38,1.59,1.62,3.73,0.42100000000000004,C.Sulser
Yoan Lopez,5.73,2.0,1.64,1.73,5.22,0.5429999999999999,Y.Lopez
Shane Greene,6.0,2.0,3.0,1.33,5.75,0.4,S.Greene
Jake McGee,6.81,2.08,1.46,1.43,5.54,0.42100000000000004,J.McGee
Oliver Perez,15.75,1.0,2.25,2.25,7.45,0.28600000000000003,O.Perez
Parker Markel,0.0,0.6,0.0,2.0,7.59,0.8,P.Markel
Cody Morris,2.3,1.67,1.72,1.53,4.53,0.386,C.Morris
Michael Feliz,2.7,2.0,2.7,0.9,2.95,0.429,M.Feliz
Angel De Jesus,2.89,2.33,1.93,1.18,6.08,0.5329999999999999,A.De
Hanser Alberto,3.38,0.33,1.13,1.38,7.7,0.387,H.Alberto
Brandon Bielak,3.65,3.0,1.46,1.22,4.67,0.4,B.Bielak
Phil Maton,3.75,2.82,1.25,1.28,3.86,0.293,P.Maton
Cody Poteet,3.86,1.91,1.29,1.21,4.11,0.415,C.Poteet
Spencer Patton,3.86,1.67,1.29,1.0,5.31,0.368,S.Patton
Huascar Brazoban,4.01,1.94,1.09,1.54,3.83,0.322,H.Brazoban
Trent Thornton,4.3,2.25,1.43,1.27,4.49,0.45,T.Thornton
Sam Selman,4.3,4.0,1.84,1.09,3.47,0.368,S.Selman
Ross Detwiler,4.44,2.8,1.71,1.56,3.93,0.40700000000000003,R.Detwiler
Gerardo Reyes,4.5,0.0,4.5,3.0,12.07,0.33299999999999996,G.Reyes
Matt Batten,4.5,1.0,4.5,1.0,6.57,0.28600000000000003,M.Batten
Dusten Knight,4.5,2.0,2.25,1.38,4.59,0.37,D.Knight
Rico Garcia,4.5,0.67,2.25,1.38,6.89,0.467,R.Garcia
Adam Kolarek,4.58,1.13,0.51,1.58,4.71,0.39,A.Kolarek
Jeremy Beasley,4.8,3.8,2.4,1.27,3.96,0.395,J.Beasley
Corbin Martin,4.84,1.75,1.21,1.66,4.7,0.529,C.Martin
Alexander Wells,4.91,6.0,4.91,1.36,1.86,0.6,A.Wells
Jeremiah Estrada,4.91,2.0,2.45,1.91,4.59,0.364,J.Estrada
James Naile,5.0,2.5,2.0,1.11,4.15,0.5329999999999999,J.Naile
Taylor Widener,5.23,2.33,1.74,1.65,5.79,0.447,T.Widener
Sean Reid-Foley,5.4,1.14,0.9,1.4,5.99,0.35700000000000004,S.Reid-Foley
Anthony Misiewicz,5.4,2.5,1.66,1.48,4.36,0.424,A.Misiewicz
Cole Ragans,5.68,1.21,1.78,1.58,5.36,0.301,C.Ragans
Xzavion Curry,5.79,0.5,0.96,2.04,6.95,0.324,X.Curry
Tanner Tully,6.0,0.33,1.5,2.33,7.92,0.455,T.Tully
Paul Fry,6.23,1.56,0.69,1.54,3.95,0.5,P.Fry
Jordan Weems,6.28,2.73,1.88,1.4,4.03,0.43,J.Weems
Cole Sands,6.75,2.25,1.35,1.61,4.83,0.39799999999999996,C.Sands
David McKay,6.75,0.75,1.35,1.8,6.24,0.52,D.McKay
Ian Hamilton,6.75,0.0,3.38,1.5,5.91,0.4,I.Hamilton
Ethan Small,7.11,0.88,1.42,2.53,6.1,0.556,E.Small
Ronel Blanco,7.11,1.75,1.42,1.89,5.14,0.4,R.Blanco
Tyler Clippard,7.2,1.0,1.8,2.0,8.38,0.17600000000000002,T.Clippard
Max Meyer,7.5,3.0,3.0,1.5,4.09,0.444,M.Meyer
Carson Kelly,7.71,0.0,1.93,2.36,7.9,0.545,C.Kelly
Andrew Vasquez,8.1,2.0,1.35,1.35,5.12,0.4,A.Vasquez
Reed Garrett,8.22,0.57,1.17,2.35,7.13,0.483,R.Garrett
Domingo Tapia,8.47,0.86,0.53,2.29,6.0,0.397,D.Tapia
Robbie Erlin,9.0,1.0,4.5,1.5,5.84,0.429,R.Erlin
Michael A. Taylor,9.0,1.0,4.5,3.5,7.08,0.444,M.A.
Connor Sadzeck,9.0,2.0,6.0,1.67,6.74,0.4,C.Sadzeck
Luis Torrens,9.0,0.0,9.0,2.0,7.57,0.6,L.Torrens
Ray Kerr,9.0,0.75,1.8,1.4,6.98,0.5,R.Kerr
Daniel Duarte,10.13,0.67,3.38,2.25,8.89,0.556,D.Duarte
Chris Ellis,10.38,0.33,0.0,2.54,8.75,0.063,C.Ellis
Chad Smith,10.8,1.38,1.08,1.92,5.32,0.409,C.Smith
Luke Barker,11.25,3.0,4.5,1.75,2.72,0.5,L.Barker
Yu Chang,13.5,0.0,4.5,3.0,6.08,0.455,Y.Chang
Austin Wynns,13.5,0.0,4.5,2.0,8.33,0.33299999999999996,A.Wynns
Locke St. John,13.5,4.0,9.0,1.5,2.08,0.8,L.St.
Jose Butto,15.75,2.5,4.5,2.75,5.08,0.43799999999999994,J.Butto
Yadier Molina,18.0,1.0,9.0,3.0,4.34,0.545,Y.Molina
Josh Harrison,18.0,1.0,3.0,3.67,6.75,0.429,J.Harrison
Whit Merrifield,18.0,0.0,9.0,2.0,10.57,0.4,W.Merrifield
Hunter Dozier,18.0,0.0,9.0,3.0,9.08,0.4,H.Dozier
Mike Ford,18.0,0.0,9.0,2.0,9.08,0.25,M.Ford
Bubby Rossman,18.0,1.0,9.0,2.0,8.57,0.667,B.Rossman
Nicky Lopez,18.0,0.0,18.0,3.0,7.57,0.667,N.Lopez
Ernie Clement,18.0,0.0,9.0,3.0,5.34,0.636,E.Clement
Nicklaus Snyder,18.0,0.0,0.0,4.0,15.08,0.5,N.Snyder
Tyson Miller,18.0,0.0,0.0,3.0,10.09,0.071,T.Miller
JC Mejia,23.14,0.2,0.0,4.29,9.32,0.4,J.Mejia
Dee Strange-Gordon,27.0,0.0,9.0,5.0,19.57,0.5,D.Strange-Gordon
Donovan Walton,27.0,0.0,9.0,4.0,7.59,0.33299999999999996,D.Walton
Albert Pujols,36.0,0.0,18.0,4.0,9.08,0.5,A.Pujols
Max Schrock,45.0,0.0,18.0,7.0,6.08,0.7,M.Schrock
Brian Moran,54.0,0.0,27.0,12.0,16.57,0.25,B.Moran
Luis Cessa,4.85,2.38,1.8,1.29,4.03,0.441,L.Cessa
Jhoulys Chacin,7.61,1.76,1.33,1.61,4.89,0.415,J.Chacin
Andrew Kittredge,3.15,7.0,1.8,0.85,3.79,0.28800000000000003,A.Kittredge
Tyler Danish,4.08,3.0,1.27,1.13,4.07,0.42100000000000004,T.Danish
Garrett Hill,4.19,1.32,1.34,1.34,5.58,0.40399999999999997,G.Hill
Anthony Gose,4.71,2.0,1.71,1.38,4.35,0.49,A.Gose
Tyler Alexander,5.35,2.41,1.63,1.38,4.92,0.38,T.Alexander
Tommy Henry,5.5,1.47,1.5,1.53,5.24,0.414,T.Henry
Austin Warren,5.63,1.8,1.69,1.5,5.15,0.518,A.Warren
Ryan Pepiot,3.78,1.46,1.62,1.53,5.58,0.415,R.Pepiot
Erich Uelmen,4.98,2.25,1.25,1.38,4.96,0.382,E.Uelmen
Tyler Beede,5.14,1.34,1.03,1.63,5.12,0.425,T.Beede
Kodi Whitley,5.68,1.33,1.42,1.58,5.46,0.389,K.Whitley
Bryan Garcia,3.29,1.38,1.98,1.24,5.43,0.389,B.Garcia
Oliver Ortega,3.71,1.83,1.32,1.47,3.94,0.43799999999999994,O.Ortega
John King,4.09,2.0,1.02,1.39,3.83,0.45,J.King
Chase Anderson,6.43,1.27,1.93,1.29,4.95,0.375,C.Anderson
Chase Silseth,6.59,2.0,2.2,1.57,4.25,0.511,C.Silseth
Tommy Romero,7.71,1.0,3.86,1.71,6.09,0.545,T.Romero
Miguel Yajure,8.27,0.77,0.87,1.89,6.19,0.434,M.Yajure
A.J. Alexy,11.57,0.67,1.29,2.71,5.89,0.478,A.Alexy
Stephen Nogosek,2.79,2.14,1.86,1.24,5.18,0.377,S.Nogosek
Cory Abbott,4.37,2.0,2.06,1.31,5.67,0.369,C.Abbott
Ronald Bolanos,4.42,1.0,0.98,1.75,5.71,0.433,R.Bolanos
Eduard Bazardo,4.5,5.0,3.38,1.25,4.65,0.35700000000000004,E.Bazardo
Tommy Kahnle,4.76,3.0,3.18,1.06,3.37,0.222,T.Kahnle
JoJo Romero,5.06,2.5,2.53,1.31,3.61,0.414,J.Romero
Kirby Yates,5.14,1.2,2.57,1.57,6.51,0.455,K.Yates
Yunior Marte,6.13,2.38,1.13,1.46,4.05,0.39,Y.Marte
Jesus Cruz,6.23,1.5,3.12,1.38,5.34,0.39299999999999996,J.Cruz
Louis Head,6.28,1.73,1.26,1.64,5.57,0.413,L.Head
Arodys Vizcaino,6.35,0.43,1.59,1.94,8.38,0.632,A.Vizcaino
