Name,ERA,K/BB,HR/9,WHIP,xFIP,HardHit%_P,abbrev_name
David Peterson,3.91,2.65,0.98,1.35,3.3,0.426,D.Peterson
Graham Ashcraft,3.97,2.78,0.87,1.33,3.88,0.37,G.Ashcraft
Rafael Montero,2.34,3.14,0.29,1.02,3.19,0.31,R.Montero
Garrett Whitlock,3.45,5.47,1.15,1.02,3.2,0.39,G.Whitlock
Zack Greinke,4.1,2.68,1.06,1.37,4.54,0.39799999999999996,Z.Greinke
Ryan Pressly,3.02,6.11,0.65,0.89,2.15,0.376,R.Pressly
Jhoan Duran,1.78,5.44,0.82,0.96,2.1,0.353,J.Duran
Brooks Raley,1.98,5.36,0.18,0.88,3.02,0.282,B.Raley
Jimmy Herget,2.45,3.93,0.58,0.93,3.39,0.376,J.Herget
Seranthony Dominguez,2.51,3.56,0.58,0.96,2.9,0.46299999999999997,S.Dominguez
Jose Suarez,3.84,2.81,1.18,1.28,4.0,0.368,J.Suarez
Jordan Romano,2.34,3.2,0.62,1.06,3.53,0.452,J.Romano
Felix Bautista,1.71,4.15,1.0,0.86,2.7,0.366,F.Bautista
Liam Hendriks,3.08,5.77,1.2,1.04,2.69,0.392,L.Hendriks
David Bednar,2.7,4.5,0.77,1.07,2.84,0.46399999999999997,D.Bednar
Giovanny Gallegos,3.09,5.08,0.98,0.96,3.44,0.341,G.Gallegos
Caleb Thielbar,3.48,3.94,0.83,1.16,3.24,0.252,C.Thielbar
Jason Adam,1.48,5.14,0.74,0.69,3.1,0.267,J.Adam
Raisel Iglesias,2.82,5.38,0.83,0.98,3.0,0.36200000000000004,R.Iglesias
Scott Effross,2.75,4.46,0.52,1.07,3.11,0.35700000000000004,S.Effross
Jose Urquidy,3.96,3.63,1.49,1.17,4.34,0.409,J.Urquidy
Brock Burke,1.57,3.73,0.72,1.03,3.45,0.382,B.Burke
Drew Smyly,3.48,3.42,1.39,1.19,4.23,0.33399999999999996,D.Smyly
Clay Holmes,2.55,3.15,0.15,1.05,2.88,0.423,C.Holmes
Jake Odorizzi,4.04,2.61,1.15,1.25,4.61,0.33299999999999996,J.Odorizzi
Matt Moore,2.05,2.11,0.27,1.2,3.88,0.313,M.Moore
Bryan Abreu,2.06,3.48,0.32,1.13,2.79,0.306,B.Abreu
Alex Vesia,2.36,3.0,0.36,1.19,3.13,0.336,A.Vesia
Chris Martin,3.4,15.75,1.07,1.03,2.2,0.419,C.Martin
Jose Alvarado,3.57,3.0,0.4,1.3,2.44,0.34700000000000003,J.Alvarado
Taylor Rogers,4.53,5.92,0.91,1.09,3.1,0.389,T.Rogers
Joe Mantiply,2.86,11.6,0.79,1.01,2.45,0.361,J.Mantiply
Matt Manning,3.28,3.14,0.78,1.13,4.19,0.34299999999999997,M.Manning
Braxton Garrett,3.68,3.95,0.98,1.19,3.48,0.35100000000000003,B.Garrett
Mitch White,5.05,2.37,0.82,1.41,4.35,0.325,M.White
Camilo Doval,2.49,2.74,0.59,1.22,3.06,0.344,C.Doval
Craig Kimbrel,3.96,2.91,0.52,1.34,3.83,0.418,C.Kimbrel
Bryan Baker,3.98,2.79,0.44,1.34,3.58,0.423,B.Baker
Zach Eflin,4.3,3.8,1.04,1.17,3.98,0.316,Z.Eflin
Collin McHugh,2.84,4.93,0.71,0.98,3.35,0.294,C.McHugh
Adrian Sampson,3.48,2.52,0.87,1.27,4.45,0.35200000000000004,A.Sampson
Dakota Hudson,4.16,1.33,0.6,1.4,4.79,0.405,D.Hudson
German Marquez,5.14,2.24,1.53,1.38,4.1,0.473,G.Marquez
Tyler Wells,3.93,2.92,1.43,1.1,4.57,0.384,T.Wells
Sean Manaea,5.18,3.15,1.75,1.33,3.94,0.419,S.Manaea
Walker Buehler,4.02,3.41,1.11,1.29,3.64,0.41600000000000004,W.Buehler
Adrian Houser,4.85,1.53,0.76,1.49,4.47,0.401,A.Houser
Michael Kopech,3.54,1.84,1.13,1.19,4.84,0.413,M.Kopech
Austin Voth,4.36,2.69,1.14,1.42,4.25,0.385,A.Voth
J.P. Feyereisen,0.0,5.0,0.0,0.49,3.56,0.39299999999999996,J.Feyereisen
Jorge Lopez,2.2,2.43,0.41,1.16,3.61,0.327,J.Lopez
Jakob Junis,4.15,4.05,1.2,1.2,3.66,0.40399999999999997,J.Junis
Hunter Greene,4.97,3.37,1.9,1.26,3.77,0.40399999999999997,H.Greene
Wandy Peralta,2.72,2.76,0.32,1.05,3.61,0.316,W.Peralta
Aaron Civale,5.4,3.75,1.2,1.31,3.93,0.401,A.Civale
Bailey Ober,3.49,4.25,0.47,1.16,4.39,0.325,B.Ober
Brayan Bello,5.1,2.0,0.0,1.7,3.81,0.38799999999999996,B.Bello
Pete Fairbanks,1.29,16.0,0.43,0.67,1.27,0.262,P.Fairbanks
Jose Berrios,4.99,3.49,1.59,1.38,4.17,0.43200000000000005,J.Berrios
Ian Anderson,5.0,1.8,0.97,1.51,4.22,0.405,I.Anderson
Dylan Bundy,4.68,3.48,1.42,1.26,4.64,0.379,D.Bundy
Alexis Diaz,1.86,2.53,0.78,0.98,3.91,0.336,A.Diaz
John Brebbia,2.9,2.72,0.58,1.29,4.51,0.373,J.Brebbia
Michael Fulmer,3.05,2.31,0.46,1.29,4.21,0.358,M.Fulmer
Roansy Contreras,3.24,2.11,1.08,1.27,4.48,0.467,R.Contreras
David Robertson,2.45,2.71,0.92,1.13,3.52,0.382,D.Robertson
Yimi Garcia,2.59,3.79,0.81,0.93,4.07,0.34,Y.Garcia
Dillon Tate,2.67,5.8,0.67,0.97,3.09,0.385,D.Tate
Spenser Watkins,4.37,2.24,1.05,1.34,4.74,0.37,S.Watkins
Andrew Heaney,2.66,5.75,1.77,1.05,2.81,0.415,A.Heaney
Sam Hentges,2.78,3.76,0.49,0.98,2.68,0.35600000000000004,S.Hentges
Andrew Bellatti,3.31,3.27,0.92,1.29,3.37,0.342,A.Bellatti
Nick Nelson,4.74,1.94,0.14,1.45,4.47,0.32799999999999996,N.Nelson
Zach Jackson,3.0,2.03,0.19,1.27,4.15,0.39,Z.Jackson
Aaron Ashby,4.58,2.7,1.31,1.43,3.26,0.34700000000000003,A.Ashby
Tyler Kinley,0.75,4.5,0.0,1.13,3.16,0.424,T.Kinley
Buck Farmer,3.29,2.24,0.44,1.27,3.91,0.375,B.Farmer
Chris Paddack,4.03,10.0,0.0,1.21,3.18,0.414,C.Paddack
David Phelps,2.79,2.11,0.16,1.29,4.09,0.359,D.Phelps
Adam Cimber,3.14,4.42,0.86,1.14,3.86,0.397,A.Cimber
Cionel Perez,1.38,2.4,0.35,1.17,3.73,0.38,C.Perez
Paul Blackburn,4.28,2.97,1.21,1.26,3.89,0.405,P.Blackburn
Taylor Hearn,4.85,2.29,1.05,1.47,4.17,0.41,T.Hearn
Adam Ottavino,2.01,4.53,0.93,0.98,2.95,0.303,A.Ottavino
Nabil Crismatt,2.98,2.82,0.57,1.2,3.51,0.363,N.Crismatt
Luis Severino,3.45,3.8,1.47,1.07,3.47,0.4,L.Severino
Kenley Jansen,3.76,3.79,1.31,1.09,3.55,0.331,K.Jansen
Austin Gomber,5.68,2.64,1.48,1.37,4.21,0.366,A.Gomber
Dylan Lee,2.51,6.13,1.05,1.09,3.12,0.40700000000000003,D.Lee
Enyel De Los Santos,3.17,3.31,0.56,1.12,3.32,0.444,E.De
MacKenzie Gore,4.5,1.95,0.9,1.47,4.42,0.45399999999999996,M.Gore
Trevor Rogers,5.47,2.36,1.26,1.5,4.11,0.374,T.Rogers
Lucas Luetge,2.75,3.79,0.69,1.3,3.96,0.22699999999999998,L.Luetge
Matt Strahm,2.95,3.92,0.68,1.08,3.71,0.33,M.Strahm
Zach Plesac,4.39,2.68,1.35,1.31,4.34,0.42,Z.Plesac
Dane Dunning,4.49,2.11,1.15,1.46,4.11,0.38,D.Dunning
Ryne Stanek,1.09,1.87,0.36,1.24,4.05,0.405,R.Stanek
Daniel Hudson,2.22,6.0,0.37,0.9,2.42,0.36700000000000005,D.Hudson
Hunter Harvey,3.16,4.0,0.29,1.18,3.38,0.46299999999999997,H.Harvey
Keegan Thompson,3.97,2.46,1.29,1.31,4.45,0.39399999999999996,K.Thompson
Andre Pallante,3.14,1.87,0.7,1.41,3.64,0.419,A.Pallante
Griffin Jax,3.34,3.84,0.94,1.04,3.31,0.382,G.Jax
Patrick Corbin,6.11,2.7,1.65,1.66,4.13,0.45299999999999996,P.Corbin
Clarke Schmidt,2.82,2.55,0.53,1.2,3.77,0.36,C.Schmidt
Tanner Houck,3.15,2.55,0.45,1.18,3.68,0.39299999999999996,T.Houck
Nathan Eovaldi,4.15,5.33,1.9,1.26,3.38,0.47100000000000003,N.Eovaldi
Penn Murfee,2.54,4.33,0.75,0.9,3.57,0.303,P.Murfee
Paul Sewald,2.62,4.19,1.23,0.77,3.52,0.311,P.Sewald
Jesse Chavez,3.5,3.53,1.02,1.33,3.33,0.46299999999999997,J.Chavez
Tylor Megill,5.01,4.27,1.31,1.21,3.04,0.33899999999999997,T.Megill
Daniel Lynch,5.15,2.35,1.46,1.59,4.28,0.474,D.Lynch
Kendall Graveman,2.82,2.63,0.74,1.37,3.3,0.345,K.Graveman
Tim Hill,2.95,2.27,0.0,1.2,3.79,0.341,T.Hill
Will Vest,3.77,2.95,0.63,1.26,3.29,0.451,W.Vest
Hoby Milner,3.88,3.8,0.62,1.17,3.43,0.33299999999999996,H.Milner
Dennis Santana,5.26,2.0,0.34,1.34,4.09,0.33299999999999996,D.Santana
Brusdar Graterol,3.02,3.9,0.6,0.94,3.23,0.25,B.Graterol
Domingo German,3.12,2.93,1.09,1.14,4.58,0.40399999999999997,D.German
James Karinchak,1.72,2.78,0.57,1.12,3.16,0.4,J.Karinchak
Connor Overton,1.82,1.43,0.0,0.89,4.72,0.444,C.Overton
Wade Miley,2.89,2.09,0.32,1.14,4.02,0.325,W.Miley
Andrew Chafin,3.06,4.38,0.9,1.06,3.24,0.33799999999999997,A.Chafin
Jason Foley,3.23,3.9,0.32,1.26,3.55,0.413,J.Foley
Jovani Moran,2.45,2.5,0.0,1.18,3.19,0.257,J.Moran
Eric Lauer,3.91,2.65,1.68,1.25,4.18,0.39399999999999996,E.Lauer
Chris Stratton,4.42,2.45,0.61,1.51,4.06,0.409,C.Stratton
Chris Flexen,3.78,1.8,1.12,1.36,5.14,0.401,C.Flexen
Brad Keller,5.12,1.75,1.13,1.49,4.41,0.409,B.Keller
Erick Fedde,5.29,1.59,1.34,1.56,4.74,0.447,E.Fedde
Alex Lange,3.83,2.79,0.8,1.24,3.1,0.348,A.Lange
Steven Matz,5.56,5.78,1.65,1.28,3.01,0.373,S.Matz
Lance McCullers Jr.,2.34,1.95,0.52,1.27,3.95,0.295,L.McCullers
Brad Boxberger,2.95,2.19,0.82,1.31,4.24,0.35600000000000004,B.Boxberger
Taylor Clarke,4.02,5.5,1.15,1.19,3.8,0.387,T.Clarke
Eduardo Rodriguez,4.35,2.11,1.12,1.33,4.49,0.369,E.Rodriguez
Kyle Bradish,5.05,2.51,1.42,1.45,4.08,0.41100000000000003,K.Bradish
Jalen Beeks,2.8,3.18,1.03,1.16,3.26,0.37200000000000005,J.Beeks
Trevor Williams,2.95,3.36,1.13,1.21,3.95,0.384,T.Williams
Lucas Gilbreath,4.19,1.88,0.42,1.47,4.06,0.40700000000000003,L.Gilbreath
Josh Hader,5.84,3.7,1.61,1.37,2.97,0.337,J.Hader
Caleb Ferguson,1.5,2.58,0.0,0.9,3.48,0.243,C.Ferguson
Duane Underwood Jr.,4.26,1.88,0.18,1.48,4.28,0.38299999999999995,D.Underwood
Jose Quijada,3.38,2.33,0.78,1.15,4.35,0.386,J.Quijada
Scott Barlow,2.43,3.53,1.22,1.04,3.47,0.301,S.Barlow
Chad Kuhl,5.33,1.87,1.68,1.5,4.81,0.439,C.Kuhl
Eli Morgan,3.6,6.18,1.5,0.9,3.4,0.355,E.Morgan
Kyle Finnegan,3.77,2.9,1.21,1.17,3.34,0.428,K.Finnegan
Jake Woodford,2.53,2.0,0.21,1.13,4.28,0.341,J.Woodford
Nick Martinez,3.26,2.44,1.27,1.27,4.03,0.37,N.Martinez
Carlos Estevez,3.44,2.41,0.98,1.18,4.14,0.391,C.Estevez
Brad Hand,2.22,1.65,0.2,1.28,4.89,0.254,B.Hand
Matt Brash,4.2,1.9,0.6,1.58,3.59,0.396,M.Brash
Kutter Crawford,5.47,2.66,1.4,1.42,4.34,0.389,K.Crawford
Connor Brogdon,3.13,5.63,1.45,1.21,3.13,0.308,C.Brogdon
Davis Martin,3.78,2.19,0.9,1.18,4.45,0.364,D.Martin
Tyler Rogers,4.01,2.1,0.4,1.28,4.2,0.304,T.Rogers
Zach Davies,4.06,2.16,1.48,1.25,4.47,0.34299999999999997,Z.Davies
Chris Archer,4.56,1.75,1.05,1.31,4.57,0.44,C.Archer
Ian Gibaut,4.65,3.15,0.87,1.48,3.35,0.38799999999999996,I.Gibaut
Daulton Jefferies,5.72,3.5,0.92,1.37,4.34,0.381,D.Jefferies
Michael Lorenzen,4.74,1.75,1.21,1.33,4.49,0.369,M.Lorenzen
Madison Bumgarner,5.01,2.23,1.41,1.48,4.86,0.43799999999999994,M.Bumgarner
Bailey Falter,3.68,4.13,1.72,1.16,4.34,0.376,B.Falter
Robert Suarez,2.7,2.72,0.9,1.1,3.38,0.33,R.Suarez
Trevor Megill,3.89,3.21,0.86,1.37,3.35,0.479,T.Megill
Kyle Hendricks,4.8,2.75,1.6,1.29,4.46,0.38799999999999996,K.Hendricks
Keegan Akin,2.99,3.89,1.19,1.05,3.37,0.377,K.Akin
Seth Lugo,3.22,3.65,1.07,1.18,3.46,0.311,S.Lugo
Dany Jimenez,3.41,1.89,0.52,1.19,4.48,0.43,D.Jimenez
Ryan Thompson,3.8,3.55,0.84,1.17,3.55,0.364,R.Thompson
Cody Stashak,3.86,15.0,0.55,0.98,3.64,0.44,C.Stashak
Justin Lawrence,4.25,2.2,0.75,1.44,3.49,0.359,J.Lawrence
Mark Melancon,4.86,1.62,0.54,1.6,4.64,0.382,M.Melancon
Amir Garrett,4.95,1.43,0.0,1.35,4.88,0.302,A.Garrett
Jose Urena,5.49,1.24,1.01,1.63,4.93,0.374,J.Urena
Ryan Feltner,6.05,2.48,1.57,1.44,4.32,0.446,R.Feltner
Hunter Brown,1.5,3.67,0.0,0.92,2.89,0.5670000000000001,H.Brown
Kyle Nelson,2.19,2.14,0.24,1.08,4.39,0.385,K.Nelson
Gregory Soto,3.5,1.83,0.33,1.39,4.56,0.41700000000000004,G.Soto
Shawn Armstrong,4.55,4.29,1.14,1.37,3.37,0.35200000000000004,S.Armstrong
Seth Martinez,2.09,2.71,0.7,1.03,3.92,0.324,S.Martinez
Hayden Wesneski,2.3,9.0,1.15,0.7,3.0,0.256,H.Wesneski
Jimmy Lambert,2.7,2.35,0.83,1.29,4.33,0.32299999999999995,J.Lambert
Dylan Floro,3.45,3.36,0.81,1.2,3.66,0.35100000000000003,D.Floro
Joey Wentz,4.15,3.75,0.52,1.04,3.79,0.4,J.Wentz
Luke Weaver,7.12,2.62,0.3,1.95,3.62,0.47600000000000003,L.Weaver
Yency Almonte,1.15,3.0,0.57,0.89,3.67,0.266,Y.Almonte
Jose Leclerc,3.09,2.61,1.03,1.1,4.44,0.321,J.Leclerc
Paolo Espino,4.24,4.25,1.64,1.32,4.05,0.392,P.Espino
Packy Naughton,4.8,4.29,0.9,1.4,3.34,0.33299999999999996,P.Naughton
Ryan Brasier,6.02,4.75,1.3,1.37,3.53,0.46399999999999997,R.Brasier
Carl Edwards Jr.,2.73,2.22,0.96,1.16,3.98,0.331,C.Edwards
Edward Cabrera,2.7,2.1,1.2,1.08,4.22,0.326,E.Cabrera
Wil Crowe,3.54,1.91,0.73,1.3,4.16,0.313,W.Crowe
Colin Holderman,3.81,1.71,0.0,1.2,4.79,0.32899999999999996,C.Holderman
Mike Clevinger,4.47,2.59,1.64,1.22,4.71,0.396,M.Clevinger
Erasmo Ramirez,3.03,4.31,1.16,1.1,3.99,0.34700000000000003,E.Ramirez
Adrian Morejon,4.18,4.17,0.96,1.18,4.25,0.41200000000000003,A.Morejon
Tanner Scott,4.4,1.95,0.78,1.59,3.55,0.33299999999999996,T.Scott
A.J. Puk,3.19,3.4,0.91,1.13,3.58,0.33299999999999996,A.Puk
Johan Oviedo,3.69,2.0,0.92,1.44,4.21,0.35200000000000004,J.Oviedo
Jordan Hicks,4.92,1.8,0.75,1.31,4.04,0.32,J.Hicks
Zach Pop,3.41,6.33,0.57,1.23,3.65,0.47200000000000003,Z.Pop
Richard Bleier,3.45,2.8,0.61,1.53,3.83,0.40299999999999997,R.Bleier
Matt Bush,3.54,4.31,1.52,1.03,3.12,0.374,M.Bush
Peter Strzelecki,3.71,2.67,0.68,1.43,3.79,0.425,P.Strzelecki
Jackson Stephens,3.72,2.26,0.59,1.33,3.93,0.321,J.Stephens
Ryan Yarbrough,4.33,2.86,1.14,1.34,4.7,0.313,R.Yarbrough
Phil Bickford,4.37,4.5,1.4,1.09,3.59,0.33299999999999996,P.Bickford
Drew Hutchison,4.59,1.63,1.13,1.47,4.88,0.39399999999999996,D.Hutchison
Lou Trivino,4.69,2.77,0.94,1.69,3.34,0.46399999999999997,L.Trivino
Alex Colome,5.2,1.48,0.6,1.64,4.48,0.461,A.Colome
Joel Kuhnel,5.75,4.08,1.22,1.3,3.31,0.384,J.Kuhnel
Austin Davis,5.79,1.94,0.8,1.61,4.66,0.309,A.Davis
Ryne Nelson,1.47,2.67,0.98,0.82,4.7,0.36200000000000004,R.Nelson
Ron Marinaccio,1.88,2.45,0.47,1.02,4.02,0.256,R.Marinaccio
Chad Green,3.0,3.2,0.6,1.2,4.16,0.439,C.Green
Tanner Rainey,3.3,2.77,1.5,1.3,3.99,0.43,T.Rainey
Bryce Elder,3.67,1.58,0.79,1.37,4.71,0.41200000000000003,B.Elder
Konnor Pilkington,3.88,1.56,0.93,1.47,4.86,0.44299999999999995,K.Pilkington
Manny Banuelos,4.08,2.0,0.25,1.22,3.93,0.36200000000000004,M.Banuelos
Kevin Ginkel,4.09,2.63,0.41,1.41,3.84,0.354,K.Ginkel
Brett Martin,4.14,2.22,0.72,1.36,3.81,0.396,B.Martin
Mike Baumann,4.26,2.17,0.47,1.47,4.49,0.419,M.Baumann
Jonathan Loaisiga,4.35,1.88,0.65,1.31,3.94,0.317,J.Loaisiga
Victor Arano,4.5,3.67,1.07,1.4,3.46,0.354,V.Arano
Joely Rodriguez,4.73,2.12,0.59,1.42,3.51,0.308,J.Rodriguez
Garrett Cleavinger,5.02,5.0,0.63,1.05,2.92,0.429,G.Cleavinger
Garrett Richards,5.27,2.77,0.63,1.34,3.94,0.38299999999999995,G.Richards
Alex Faedo,5.53,1.76,1.17,1.64,5.03,0.391,A.Faedo
Joe Kelly,6.42,2.19,0.53,1.6,3.31,0.314,J.Kelly
Sean Doolittle,0.0,6.0,0.0,0.19,3.09,0.636,S.Doolittle
John Means,3.38,3.5,0.0,1.25,3.78,0.4,J.Means
Pierce Johnson,3.38,3.5,0.0,1.25,1.66,0.313,P.Johnson
Aaron Loup,3.96,2.5,0.69,1.3,3.97,0.335,A.Loup
Julian Merryweather,5.19,4.4,1.04,1.27,4.11,0.42200000000000004,J.Merryweather
Mychal Givens,3.43,2.84,1.19,1.33,3.65,0.374,M.Givens
Diego Castillo,4.02,2.14,0.77,1.26,3.94,0.31,D.Castillo
Nick Sandlin,2.09,1.57,0.47,1.19,4.3,0.374,N.Sandlin
JP Sears,3.9,2.25,1.3,1.3,4.72,0.462,J.Sears
Dylan Coleman,2.66,1.75,0.74,1.25,4.59,0.369,D.Coleman
Matt Wisler,2.25,2.5,1.23,1.0,4.9,0.307,M.Wisler
Rony Garcia,4.41,3.69,1.59,1.04,4.15,0.511,R.Garcia
Zach Thompson,5.2,1.86,1.5,1.55,4.47,0.384,Z.Thompson
Vince Velasquez,5.24,2.67,1.48,1.27,4.64,0.433,V.Velasquez
Aaron Sanchez,6.34,2.47,1.14,1.57,4.33,0.46,A.Sanchez
Jonathan Hernandez,2.59,1.53,0.0,1.48,4.04,0.485,J.Hernandez
Tanner Banks,3.24,2.65,0.9,1.16,3.7,0.39899999999999997,T.Banks
Dustin May,3.46,2.08,1.04,1.0,4.29,0.344,D.May
Jeff Hoffman,3.83,1.96,1.01,1.41,5.07,0.389,J.Hoffman
Robert Stephenson,5.77,3.69,1.53,1.38,4.25,0.41600000000000004,R.Stephenson
Kris Bubic,5.81,1.66,1.36,1.71,4.63,0.45399999999999996,K.Bubic
Yonny Chirinos,0.0,6.0,0.0,1.14,3.1,0.455,Y.Chirinos
Drey Jameson,0.0,5.0,0.0,0.43,3.17,0.5,D.Jameson
Javier Assad,3.86,1.5,1.16,1.54,4.64,0.4,J.Assad
Matt Foster,4.4,2.47,1.2,1.33,4.39,0.336,M.Foster
Dinelson Lamet,5.72,2.6,1.27,1.48,3.73,0.431,D.Lamet
Kaleb Ort,5.79,1.69,0.39,1.76,5.25,0.47200000000000003,K.Ort
Ty Blach,6.3,2.0,0.9,1.45,4.84,0.376,T.Blach
Janson Junk,6.48,3.67,1.08,1.56,2.44,0.348,J.Junk
Max Kranick,0.0,1.33,0.0,1.2,5.09,0.16699999999999998,M.Kranick
Fernando Cruz,1.13,2.0,0.0,1.0,4.53,0.222,F.Cruz
Denyi Reyes,2.35,3.0,0.0,1.17,4.66,0.519,D.Reyes
Justin Wilson,2.45,7.0,0.0,0.82,0.1,0.33299999999999996,J.Wilson
Kyle Barraclough,3.0,2.25,0.0,1.22,4.26,0.41700000000000004,K.Barraclough
Alex Young,3.06,1.6,0.0,1.7,4.17,0.4,A.Young
Phoenix Sanders,3.07,4.0,0.0,1.02,3.71,0.452,P.Sanders
Chris Sale,3.18,5.0,0.0,1.06,3.19,0.389,C.Sale
Tommy Nance,4.54,2.79,1.13,1.54,3.19,0.379,T.Nance
Wyatt Mills,4.6,2.0,0.31,1.33,4.65,0.31,W.Mills
Archie Bradley,4.82,2.14,0.48,1.29,3.82,0.321,A.Bradley
Tony Santillan,5.49,1.75,0.46,1.78,5.15,0.39,T.Santillan
DL Hall,8.64,2.0,0.0,1.8,3.93,0.24,D.Hall
Adbert Alzolay,9.0,5.0,0.0,1.5,-0.39,0.667,A.Alzolay
Luis Gil,9.0,2.5,0.0,1.75,3.22,0.41700000000000004,L.Gil
Tim Mayza,2.72,4.0,1.26,1.05,2.96,0.38799999999999996,T.Mayza
Miguel Castro,4.0,2.31,0.67,1.41,4.04,0.324,M.Castro
Steven Wilson,3.09,2.65,1.35,1.05,4.73,0.366,S.Wilson
Collin Snider,6.68,1.58,0.58,1.58,4.39,0.447,C.Snider
Jose Cuas,3.28,1.62,0.5,1.63,4.43,0.34299999999999997,J.Cuas
Joel Payamps,3.29,2.56,1.15,1.39,4.06,0.413,J.Payamps
Domingo Acevedo,3.45,3.31,1.15,0.99,3.96,0.33,D.Acevedo
Beau Brieske,4.19,2.16,1.54,1.2,4.78,0.413,B.Brieske
Humberto Castellanos,5.68,2.67,1.42,1.4,4.69,0.377,H.Castellanos
Josh Staumont,6.45,1.48,0.72,1.75,4.99,0.43700000000000006,J.Staumont
Derek Law,1.32,1.67,0.66,1.46,4.38,0.261,D.Law
David Price,2.58,4.63,1.41,1.17,3.04,0.377,D.Price
Jaime Barria,2.69,2.58,1.22,1.02,4.45,0.35700000000000004,J.Barria
Aaron Bummer,2.91,2.5,0.83,1.52,3.08,0.5,A.Bummer
Kyle Crick,4.02,1.73,0.0,1.34,4.12,0.235,K.Crick
Trevor Gott,4.03,4.0,1.42,1.0,3.63,0.337,T.Gott
Jake Cousins,4.5,2.6,1.13,1.63,3.41,0.368,J.Cousins
Hyun-Jin Ryu,5.67,4.0,1.67,1.33,4.24,0.441,H.Ryu
Angel Rondon,0.0,1.33,0.0,0.8,5.69,0.231,A.Rondon
Jose Cisnero,1.45,1.08,0.0,1.23,5.32,0.255,J.Cisnero
Zack Thompson,2.22,1.67,0.64,1.09,4.23,0.366,Z.Thompson
Mason Thompson,2.76,1.5,0.55,0.98,4.93,0.34,M.Thompson
Jhonathan Diaz,2.93,1.1,0.59,1.5,4.99,0.467,J.Diaz
Manuel Rodriguez,3.0,1.2,0.0,1.33,4.43,0.222,M.Rodriguez
Reyes Moronta,3.9,2.62,1.39,1.11,4.56,0.345,R.Moronta
Daniel Castano,4.04,2.22,1.26,1.43,4.37,0.336,D.Castano
Jose Ruiz,4.37,2.21,1.13,1.4,3.97,0.47,J.Ruiz
Shane Baz,5.0,3.33,1.67,1.33,3.43,0.506,S.Baz
Juan Minaya,5.59,2.2,0.0,1.34,4.54,0.34600000000000003,J.Minaya
Logan Allen,5.87,1.4,0.0,2.22,5.57,0.37,L.Allen
Nick Wittgren,5.9,1.7,0.31,1.55,5.13,0.34,N.Wittgren
Josh Sborz,6.45,2.91,1.61,1.61,3.25,0.474,J.Sborz
Joan Adon,7.1,1.41,1.11,1.78,5.06,0.36700000000000005,J.Adon
James Norwood,8.31,2.44,1.04,1.9,3.76,0.46299999999999997,J.Norwood
Justin Topa,0.0,1.5,0.0,1.62,3.45,0.33299999999999996,J.Topa
Ryan Castellani,0.0,1.0,0.0,0.75,3.47,0.5,R.Castellani
Andre Jackson,0.0,1.5,0.0,1.88,5.34,0.375,A.Jackson
Luis Ortiz,0.0,1.67,0.0,0.71,4.77,0.385,L.Ortiz
Jake Fishman,1.13,5.0,0.0,0.75,4.1,0.45799999999999996,J.Fishman
Marcos Diplan,1.59,1.6,0.0,1.59,3.72,0.429,M.Diplan
Mark Appel,1.74,1.67,0.0,1.16,4.31,0.5,M.Appel
Scott Alexander,1.74,7.0,0.87,0.87,2.76,0.33299999999999996,S.Alexander
Drew Carlton,2.08,7.0,1.04,0.46,3.21,0.36,D.Carlton
Gabe Speier,2.33,2.8,0.93,1.09,4.2,0.32799999999999996,G.Speier
Cooper Criswell,2.7,4.0,0.0,0.9,2.95,0.25,C.Criswell
Max Castillo,2.97,4.0,1.78,0.99,3.42,0.429,M.Castillo
Steven Brault,3.0,1.6,0.0,1.44,5.31,0.36,S.Brault
Zack Kelly,3.52,1.75,0.0,1.3,3.82,0.28600000000000003,Z.Kelly
Jhon Romero,3.6,6.0,0.0,2.0,1.6,0.41200000000000003,J.Romero
Parker Mushinski,3.68,2.67,0.0,1.09,3.58,0.222,P.Mushinski
Logan Gillaspie,3.75,2.5,0.0,1.58,4.76,0.435,L.Gillaspie
Austin Brice,4.05,1.67,0.0,1.05,4.3,0.368,A.Brice
Eric Stout,4.22,1.6,0.42,1.73,5.34,0.344,E.Stout
Michael Grove,4.4,1.83,1.26,1.4,5.01,0.469,M.Grove
Mauricio Llovera,4.41,2.5,1.1,1.35,3.58,0.205,M.Llovera
Yerry De Los Santos,4.91,2.36,1.05,1.29,3.93,0.392,Y.De
Matt Barnes,5.08,1.67,0.53,1.51,5.01,0.456,M.Barnes
Daniel Mengden,5.14,8.0,1.29,1.57,2.95,0.348,D.Mengden
Casey Mize,5.4,2.0,0.9,1.5,5.58,0.41,C.Mize
Norge Ruiz,6.43,5.33,0.64,1.64,3.38,0.4,N.Ruiz
Tayler Scott,6.75,2.17,0.75,2.08,3.93,0.4,T.Scott
Kevin Herget,6.75,1.0,0.0,0.75,5.7,0.556,K.Herget
Ken Waldichuk,7.13,2.43,1.53,1.58,4.65,0.491,K.Waldichuk
Sean Hjelle,9.75,3.0,0.75,2.17,2.97,0.442,S.Hjelle
Bryce Montes de Oca,10.8,3.0,0.0,2.7,2.2,0.182,B.Montes
Cade Cavalli,14.54,3.0,0.0,1.85,5.52,0.33299999999999996,C.Cavalli
Glenn Otto,4.88,1.59,1.3,1.37,4.97,0.387,G.Otto
